Date,ME,RA,EA,NE,OC,NC,BC,CM
4/8/13,8,8,8,8,8,8,8,8
4/9/13,9,9,8,8,9,9,9,9
4/10/13,11,11,12,12,11,11,11,11
4/11/13,11,11,11,11,10,10,10,10
4/12/13,11,11,10,10,7,7,7,7
4/13/13,11,11,8,8,6,6,6,6
4/14/13,7,7,6,6,6,6,6,6
4/15/13,7,7,6,6,7,7,7,7
4/16/13,8,8,7,7,8,8,8,8
4/17/13,10,10,10,10,9,9,9,9
4/18/13,13,13,12,12,11,11,11,11
4/19/13,12,12,11,11,11,11,11,11
4/20/13,10,10,10,10,12,12,12,12
4/21/13,10,10,10,10,10,10,10,10
4/22/13,10,10,9,9,7,7,7,7
4/23/13,11,11,9,9,7,7,7,7
4/24/13,9,9,8,8,6,6,6,6
4/25/13,9,9,9,9,8,8,8,8
4/26/13,10,10,9,9,9,9,9,9
4/27/13,11,11,9,9,7,7,7,7
4/28/13,11,11,9,9,7,7,7,7
4/29/13,11,11,9,9,7,7,7,7
4/30/13,10,10,9,9,7,7,7,7
5/1/13,12,12,9,9,8,8,8,8
5/2/13,14,14,11,11,10,10,10,10
5/3/13,11,11,11,11,11,11,11,11
5/4/13,11,11,10,10,8,8,9,9
5/5/13,9,9,9,9,8,7,8,9
5/6/13,8,8,8,8,6,6,7,6
5/7/13,7,7,7,7,7,7,8,7
5/8/13,6,6,6,6,6,6,6,6
5/9/13,7,7,6,6,6,6,6,6
5/10/13,8,8,7,7,6,6,6,6
5/11/13,10,10,9,9,6,6,6,7
5/12/13,10,10,10,10,8,7,8,8
5/13/13,10,10,10,10,9,8,10,10
5/14/13,11,11,10,10,7,7,7,7
5/15/13,10,10,8,8,7,7,7,7
5/16/13,9,9,7,7,6,6,6,6
5/17/13,9,9,8,7,6,6,6,7
5/18/13,9,9,9,8,6,6,6,6
5/19/13,9,9,9,8,7,7,7,7
5/20/13,11,11,9,9,8,8,7,7
5/21/13,10,10,9,9,8,8,8,8
5/22/13,10,10,8,8,6,6,6,7
5/23/13,9,9,9,9,7,6,6,7
5/24/13,9,9,8,8,6,6,7,6
5/25/13,9,9,8,8,6,6,6,6
5/26/13,9,9,7,7,6,6,6,7
5/27/13,8,8,7,7,6,7,6,7
5/28/13,9,9,9,9,6,6,7,7
5/29/13,9,9,9,9,6,6,6,7
5/30/13,10,10,8,8,7,7,7,7
5/31/13,10,10,8,8,8,7,7,7
6/1/13,11,11,10,10,9,8,8,8
6/2/13,10,10,9,9,7,7,8,7
6/3/13,9,9,7,7,7,7,7,7
6/4/13,10,10,8,8,6,6,6,6
6/5/13,10,10,7,7,6,6,6,6
6/6/13,10,10,7,7,6,6,6,6
6/7/13,10,10,9,9,6,6,6,6
6/8/13,11,11,9,9,6,6,6,6
6/9/13,11,11,11,11,6,7,6,6
6/10/13,11,11,8,8,6,6,6,7
6/11/13,10,10,9,9,7,6,6,6
6/12/13,10,10,8,8,6,6,6,6
6/13/13,9,9,8,8,6,6,6,6
6/14/13,11,11,10,10,6,6,6,6
6/15/13,11,11,10,10,6,6,6,6
6/16/13,11,11,11,11,6,6,6,7
