Date,ME,RA,EA,NE,OC,NC,BC,CM
7/1/2019,5,5,5,5,5,5,5,5
7/2/2019,5,5,5,5,5,5,5,5
7/3/2019,5,5,5,5,5,5,5,5
7/4/2019,5,5,5,5,5,5,5,5
7/5/2019,5,5,5,5,5,5,5,5
7/6/2019,5,5,5,5,5,5,5,5
7/7/2019,5,5,5,5,5,5,5,5
7/8/2019,5,5,5,5,5,5,5,5
7/9/2019,5,5,5,5,5,5,5,5
7/10/2019,5,5,5,5,5,5,5,5
7/11/2019,5,5,5,5,5,5,5,5
7/12/2019,5,5,5,5,5,5,5,5
7/13/2019,5,5,5,5,5,5,5,5
7/14/2019,5,5,5,5,5,5,5,5
7/15/2019,5,5,5,5,5,5,5,5
7/16/2019,5,5,5,5,5,5,5,5
7/17/2019,5,5,5,5,5,5,5,5
7/18/2019,5,5,5,5,5,5,5,5
7/19/2019,5,5,5,5,5,5,5,5
7/20/2019,5,5,5,5,5,5,5,5
7/21/2019,5,5,5,5,5,5,5,5
7/22/2019,5,5,5,5,5,5,5,5
7/23/2019,5,5,5,5,5,5,5,5
7/24/2019,5,5,5,5,5,5,5,5
7/25/2019,5,5,5,5,5,5,5,5
7/26/2019,5,5,5,5,5,5,5,5
7/27/2019,5,5,5,5,5,5,5,5
7/28/2019,5,5,5,5,5,5,5,5
7/29/2019,5,5,5,5,5,5,5,5
7/30/2019,5,5,5,5,5,5,5,5
7/31/2019,5,5,5,5,5,5,5,5
8/1/2019,5,5,5,5,5,5,5,5
8/2/2019,5,5,5,5,5,5,5,5
8/3/2019,5,5,5,5,5,5,5,5
8/4/2019,5,5,5,5,5,5,5,5
8/5/2019,5,5,5,5,5,5,5,5
8/6/2019,5,5,5,5,5,5,5,5
8/7/2019,5,5,5,5,5,5,5,5
8/8/2019,5,5,5,5,5,5,5,5
8/9/2019,5,5,5,5,5,5,5,5
8/10/2019,5,5,5,5,5,5,5,5
8/11/2019,5,5,5,5,5,5,5,5
8/12/2019,5,5,5,5,5,5,5,5
8/13/2019,5,5,5,5,5,5,5,5
8/14/2019,5,5,5,5,5,5,5,5
8/15/2019,5,5,5,5,5,5,5,5
8/16/2019,5,5,5,5,5,5,5,5
8/17/2019,5,5,5,5,5,5,5,5
8/18/2019,5,5,5,5,5,5,5,5
8/19/2019,5,5,5,5,5,5,5,5
8/20/2019,5,5,5,5,5,5,5,5
8/21/2019,5,5,5,5,5,5,5,5
8/22/2019,5,5,5,5,5,5,5,5
8/23/2019,5,5,5,5,5,5,5,5
8/24/2019,5,5,5,5,5,5,5,5
8/25/2019,5,5,5,5,5,5,5,5
8/26/2019,5,5,5,5,5,5,5,5
8/27/2019,5,5,5,5,5,5,5,5
8/28/2019,5,5,5,5,5,5,5,5
8/29/2019,5,5,5,5,5,5,5,5
8/30/2019,5,5,5,5,5,5,5,5
8/31/2019,5,5,5,5,5,5,5,5
9/1/2019,5,5,5,5,5,5,5,5
9/2/2019,5,5,5,5,5,5,5,5
9/3/2019,5,5,5,5,5,5,5,5
9/4/2019,5,5,5,5,5,5,5,5
9/5/2019,5,5,5,5,5,5,5,5
9/6/2019,5,5,5,5,5,5,5,5
9/7/2019,5,5,5,5,5,5,5,5
9/8/2019,5,5,5,5,5,5,5,5
9/9/2019,5,5,5,5,5,5,5,5
9/10/2019,5,5,5,5,5,5,5,5
9/11/2019,5,5,5,5,5,5,5,5
9/12/2019,5,5,5,5,5,5,5,5
9/13/2019,5,5,5,5,5,5,5,5
9/14/2019,5,5,5,5,5,5,5,5
9/15/2019,5,5,5,5,5,5,5,5
9/16/2019,5,5,5,5,5,5,5,5
9/17/2019,5,5,5,5,5,5,5,5
9/18/2019,5,5,5,5,5,5,5,5
9/19/2019,5,5,5,5,5,5,5,5
9/20/2019,5,5,5,5,5,5,5,5
9/21/2019,5,5,5,5,5,5,5,5
9/22/2019,5,5,5,5,5,5,5,5
9/23/2019,5,5,5,5,5,5,5,5
9/24/2019,5,5,5,5,5,5,5,5
9/25/2019,5,5,5,5,5,5,5,5
9/26/2019,5,5,5,5,5,5,5,5
9/27/2019,5,5,5,5,5,5,5,5
9/28/2019,5,5,5,5,5,5,5,5
9/29/2019,5,5,5,5,5,5,5,5
9/30/2019,5,5,5,5,5,5,5,5
10/1/2019,5,5,5,5,5,5,5,5
10/2/2019,5,5,5,5,5,5,5,5
10/3/2019,5,5,5,5,5,5,5,5
10/4/2019,5,5,5,5,5,5,5,5
10/5/2019,5,5,5,5,5,5,5,5
10/6/2019,5,5,5,5,5,5,5,5
10/7/2019,5,5,5,5,5,5,5,5
10/8/2019,5,5,5,5,5,5,5,5
10/9/2019,5,5,5,5,5,5,5,5
10/10/2019,5,5,5,5,5,5,5,5
10/11/2019,5,5,5,5,5,5,5,5
10/12/2019,5,5,5,5,5,5,5,5
10/13/2019,5,5,5,5,5,5,5,5
10/14/2019,5,5,5,5,5,5,5,5
10/15/2019,5,5,5,5,5,5,5,5
10/16/2019,5,5,5,5,5,5,5,5
10/17/2019,5,5,5,5,5,5,5,5
10/18/2019,5,5,5,5,5,5,5,5
10/19/2019,5,5,5,5,5,5,5,5
10/20/2019,5,5,5,5,5,5,5,5
10/21/2019,5,5,5,5,5,5,5,5
10/22/2019,5,5,5,5,5,5,5,5
10/23/2019,5,5,5,5,5,5,5,5
10/24/2019,5,5,5,5,5,5,5,5
10/25/2019,5,5,5,5,5,5,5,5
10/26/2019,5,5,5,5,5,5,5,5
10/27/2019,5,5,5,5,5,5,5,5
10/28/2019,5,5,5,5,5,5,5,5
10/29/2019,5,5,5,5,5,5,5,5
10/30/2019,5,5,5,5,5,5,5,5
10/31/2019,5,5,5,5,5,5,5,5
11/1/2019,5,5,5,5,5,5,5,5
11/2/2019,5,5,5,5,5,5,5,5
11/3/2019,5,5,5,5,5,5,5,5
11/4/2019,5,5,5,5,5,5,5,5
11/5/2019,5,5,5,5,5,5,5,5
11/6/2019,5,5,5,5,5,5,5,5
11/7/2019,5,5,5,5,5,5,5,5
11/8/2019,5,5,5,5,5,5,5,5
11/9/2019,5,5,5,5,5,5,5,5
11/10/2019,5,5,5,5,5,5,5,5
11/11/2019,5,5,5,5,5,5,5,5
11/12/2019,5,5,5,5,5,5,5,5
11/13/2019,5,5,5,5,5,5,5,5
11/14/2019,5,5,5,5,5,5,5,5
11/15/2019,5,5,5,5,5,5,5,5
11/16/2019,5,5,5,5,5,5,5,5
11/17/2019,5,5,5,5,5,5,5,5
11/18/2019,5,5,5,5,5,5,5,5
11/19/2019,5,5,5,5,5,5,5,5
11/20/2019,5,5,5,5,5,5,5,5
11/21/2019,5,5,5,5,5,5,5,5
11/22/2019,5,5,5,5,5,5,5,5
11/23/2019,5,5,5,5,5,5,5,5
11/24/2019,5,5,5,5,5,5,5,5
11/25/2019,5,5,5,5,5,5,5,5
11/26/2019,5,5,5,5,5,5,5,5
11/27/2019,5,5,5,5,5,5,5,5
11/28/2019,5,5,5,5,5,5,5,5
11/29/2019,5,5,5,5,5,5,5,5
11/30/2019,5,5,5,5,5,5,5,5
12/1/2019,5,5,5,5,5,5,5,5
12/2/2019,5,5,5,5,5,5,5,5
12/3/2019,5,5,5,5,5,5,5,5
12/4/2019,5,5,5,5,5,5,5,5
12/5/2019,5,5,5,5,5,5,5,5
12/6/2019,4,4,4,4,4,4,4,4
12/7/2019,4,4,4,4,4,4,4,4
12/8/2019,4,4,4,4,4,4,4,4
12/9/2019,4,4,4,4,4,4,4,4
12/10/2019,4,4,4,4,4,4,4,4
12/11/2019,4,4,4,4,4,4,4,4
12/12/2019,4,4,4,4,4,4,4,4
12/13/2019,4,4,4,4,4,4,4,4
12/14/2019,4,4,4,4,4,4,4,4
12/15/2019,4,4,4,4,4,4,4,4
12/16/2019,4,4,4,4,4,4,4,4
12/17/2019,4,4,4,4,4,4,4,4
12/18/2019,4,4,4,4,4,4,4,4
12/19/2019,4,4,4,4,4,4,4,4
12/20/2019,4,4,4,4,4,4,4,4
12/21/2019,4,4,4,4,4,4,4,4
12/22/2019,4,4,4,4,4,4,4,4
12/23/2019,4,4,4,4,4,4,4,4
12/24/2019,4,4,4,4,4,4,4,4
12/25/2019,4,4,4,4,4,4,4,4
12/26/2019,4,4,4,4,4,4,4,4
12/27/2019,4,4,4,4,4,4,4,4
12/28/2019,4,4,4,4,4,4,4,4
12/29/2019,4,4,4,4,4,4,4,4
12/30/2019,4,4,4,4,4,4,4,4
12/31/2019,4,4,4,4,4,4,4,4
1/1/2020,4,4,4,4,4,4,4,4
1/2/2020,4,4,4,4,4,4,4,4
1/3/2020,3,3,3,3,3,3,3,3
1/4/2020,3,3,3,3,3,3,3,3
1/5/2020,3,3,3,3,3,3,3,3
1/6/2020,3,3,3,3,3,3,3,3
